,Condition,Drugs
0,High Blood Pressure (Hypertension),"[Ramipril, Hydrochlorothiazide, Torasemide, Indapamide, Nifedipine, Propranolol, Triamterene, Nisoldipine, Telmisartan, Betaxolol, Metoprolol, Clonidine, Aliskiren, Spironolactone, Carvedilol, Ranitidine, Labetalol, Trandolapril, Prazosin, Doxazosin, Diltiazem, Captopril, Felodipine, Fosinopril, Verapamil, Nebivolol, Amiloride, Terazosin, Bendroflumethiazide, Furosemide, Olmesartan, Chlorothiazide, Nicardipine, Valsartan, Enalapril, Eplerenone, Bisoprolol, Pindolol, Moexipril, Benazepril, Methyclothiazide, Irbesartan, Isosorbide dinitrate, Nadolol, Azilsartan medoxomil, Atenolol, Losartan, Quinapril, Cilazapril, Reserpine, Clevidipine, Acebutolol, Perindopril, Amlodipine, Guanfacine, Isradipine, Eprosartan, Lisinopril]"
1,Bacterial Infections,"[Polymyxin B, Dalbavancin, Spiramycin, Clindamycin, Gemifloxacin, Cefuroxime, Rifaximin, Ceftriaxone, Cefazolin, Cefprozil, Cefotaxime, Procaine benzylpenicillin, Nafcillin, Clarithromycin, Gentamicin, Tigecycline, Phenoxymethylpenicillin, Telavancin, Ethanol, Chloramphenicol, Cefotetan, Cefoxitin, Ofloxacin, Cefditoren, Streptomycin, Ceftaroline fosamil, Sulfamethoxazole, Cefepime, Cefadroxil, Ampicillin, Meropenem, Minocycline, Ceftazidime, Levofloxacin, Neomycin, Hexachlorophene, Probenecid, Tetracycline, Erythromycin, Doripenem, Ceftibuten, Cloxacillin, Benzylpenicillin, Sulbactam, Cefpodoxime, Cefaclor, Linezolid]"
2,Rheumatoid Arthritis,"[Nabumetone, Hydroxychloroquine, Chloroquine, Celecoxib, Leflunomide, Tetracosactide, Dexamethasone, Tolmetin, Tenoxicam, Naproxen, Ranitidine, Infliximab, Methylprednisolone, Betamethasone, Etodolac, Bupivacaine, Ketoprofen, Piroxicam, Flurbiprofen, Meloxicam, Tacrolimus, Oxaprozin, Prednisolone, Sulindac, Sulfasalazine, Diflunisal, Triamcinolone, Etanercept, Fenoprofen, Meclofenamic acid, Prednisone, Tiaprofenic acid, Auranofin, Diclofenac, Indometacin, Azathioprine, Hydrocortisone, Sodium aurothiomalate, Ibuprofen, Corticotropin, Acetylsalicylic acidCommonly known or available as Aspirin]"
3,Type 2 Diabetes Mellitus,"[Metformin, Colesevelam, Dulaglutide, Tolbutamide, Insulin Glulisine, Liraglutide, Glimepiride, Semaglutide, Pramlintide, Insulin Detemir, Tolazamide, Dapagliflozin, Lixisenatide, Insulin Aspart, Empagliflozin, Gliclazide, Chlorpropamide, Sitagliptin, Albiglutide, Nateglinide, Miglitol, Glyburide, Pioglitazone, Alogliptin, Glipizide, Repaglinide, Acarbose, Bromocriptine, Insulin glargine, Insulin Degludec, Linagliptin, Vildagliptin, Canagliflozin, Exenatide, Saxagliptin, Ertugliflozin, Rosiglitazone]"
4,Migraine,"[Riboflavin, Almotriptan, Propranolol, Ergotamine, Metoprolol, Magnesium citrate, Pizotifen, Naproxen, Verapamil, Ketoprofen, Metoclopramide, Valproic Acid, Nicardipine, Zolmitriptan, Galcanezumab, Cyclizine, Amitriptyline, Venlafaxine, Nadolol, Atenolol, Topiramate, Ubidecarenone, Ibuprofen, Cyproheptadine, Tizanidine, Dihydroergotamine, Timolol, Guanfacine, Acetylsalicylic acidCommonly known or available as Aspirin, Lisinopril]"
5,Schizophrenic Disorders,"[Iloperidone, Olanzapine, Aripiprazole, Trifluoperazine, Zuclopenthixol, Ziprasidone, Perphenazine, Lurasidone, Prochlorperazine, Flupentixol, Methotrimeprazine, Chlorpromazine, Haloperidol, Cariprazine, Thioproperazine, Quetiapine, Brexpiprazole, Molindone, Thiothixene, Mirtazapine, Paliperidone, Pipotiazine, Thioridazine, Risperidone, Trazodone, Asenapine, Loxapine]"
6,Skin and Subcutaneous Tissue Bacterial Infections,"[Dalbavancin, Clindamycin, Cefuroxime, Cephalexin, Ceftriaxone, Cefazolin, Cefotaxime, Amoxicillin, Procaine benzylpenicillin, Amikacin, Gentamicin, Tigecycline, Phenoxymethylpenicillin, Oritavancin, Cefoxitin, Ofloxacin, Imipenem, Cefadroxil, Daptomycin, Minocycline, Metronidazole, Tetracycline, Tobramycin, Sulbactam, Cilastatin, Linezolid]"
7,Sleeplessness,"[Diphenhydramine, Suvorexant, Lorazepam, Zopiclone, Pentobarbital, Zaleplon, Estazolam, Nitrazepam, Triazolam, Ramelteon, Phenobarbital, St. John's Wort, Doxylamine, Mirtazapine, Secobarbital, Zolpidem, Flurazepam, Temazepam, Amitriptyline, Trimipramine, Eszopiclone, Trazodone, Desipramine, Tizanidine, Quazepam, Melatonin]"
8,Ankylosing Spondylitis (AS),"[Celecoxib, Tetracosactide, Dexamethasone, Tolmetin, Naproxen, Ranitidine, Infliximab, Methylprednisolone, Betamethasone, Bupivacaine, Ketoprofen, Piroxicam, Flurbiprofen, Prednisolone, Sulindac, Triamcinolone, Etanercept, Meclofenamic acid, Prednisone, Secukinumab, Diclofenac, Indometacin, Hydrocortisone, Ibuprofen, Corticotropin]"
9,Major Depressive Disorder (MDD),"[Nortriptyline, Bupropion, Aripiprazole, Desvenlafaxine, Sertraline, Duloxetine, Paroxetine, Selegiline, Imipramine, Quetiapine, Brexpiprazole, Mirtazapine, Moclobemide, Amitriptyline, Venlafaxine, Fluvoxamine, Maprotiline, Modafinil, Escitalopram, Vilazodone, Trazodone, Citalopram, Vortioxetine]"
10,Community Acquired Pneumonia (CAP),"[Moxifloxacin, Clindamycin, Gemifloxacin, Oxacillin, Ceftriaxone, Cefazolin, Cefprozil, Cefotaxime, Amoxicillin, Clarithromycin, Ertapenem, Cefixime, Tigecycline, Phenoxymethylpenicillin, Ofloxacin, Cefditoren, Ceftaroline fosamil, Levofloxacin, Erythromycin, Sulbactam, Azithromycin, Cefpodoxime, Linezolid]"
11,Metastatic Breast Cancer (MBC),"[Lapatinib, Trastuzumab, Docetaxel, Talazoparib, Abemaciclib, Doxorubicin, Methyltestosterone, Estradiol, Capecitabine, Ixabepilone, Toremifene, Bevacizumab, Carboplatin, Palbociclib, Ribociclib, Olaparib, Anastrozole, Paclitaxel, Vinorelbine, Mitoxantrone, Tamoxifen, Pertuzumab]"
